id;name;birth_date
1545;Dr. Seuss;2020-07-15
1546;Ian Fleming;2020-07-15
1547;Sara Donati;2020-07-16
1548;"Holly Black; Eliza Wheeler";2020-07-15
1549;Irving Shulman;2020-07-16
1550;Alastair Reynolds;2020-07-16
1551;George W. Bush;2020-07-15
1552;Lauren DeStefano;2020-07-16
1553;Amor Towles;2020-07-16
1554;Neal Shusterman;2020-07-16
1555;Lorraine Hansberry;2020-07-15
1556;Lynsay Sands;2020-07-15
1557;Steve Toltz;2020-07-16
1558;Michael Connelly;2020-07-15
1559;Victoria Aveyard;2020-07-16
1560;C.J. Box;2020-07-16
1561;Anita Shreve;2020-07-15
1562;Chevy Stevens;2020-07-16
1563;"Angie Sage; Mark Zug";2020-07-16
1564;J.D. Salinger;2020-07-16
1565;Robin McKinley;2020-07-15
1566;J. Kenner;2020-07-15
1567;Joe McGinniss;2020-07-16
1568;Jennifer Niven;2020-07-15
1569;S.K. Tremayne;2020-07-16
1570;Maggie Stiefvater;2020-07-16
1571;David Baldacci;2020-07-15
1572;Jeff Lindsay;2020-07-16
1573;Peter Carey;2020-07-16
1574;Nora Roberts;2020-07-16
1575;Ken Follett;2020-07-15
1576;Siri Hustvedt;2020-07-15
1577;Frances Mayes;2020-07-16
1578;Joseph Wambaugh;2020-07-15
1579;Rachel Vincent;2020-07-16
1580;Rachel Caine;2020-07-16
1581;Mira Grant;2020-07-15
1582;Beth Revis;2020-07-16
1583;Lisa Gardner;2020-07-16
1584;Blake Crouch;2020-07-16
1585;Amy Tan;2020-07-15
1586;Vikram Seth;2020-07-15
1587;Nora Roberts;2020-07-16
1588;Agatha Christie;2020-07-15
1589;Sandra Brown;2020-07-16
1590;Patrick Ness;2020-07-16
1591;Robert   Harris;2020-07-15
1592;Brandon Sanderson;2020-07-16
1593;Kelley Armstrong;2020-07-16
1594;Anthony Horowitz;2020-07-16
1595;J.P. Delaney;2020-07-15
1596;Pat Frank;2020-07-15
1597;J.D. Robb;2020-07-16
1598;Toni Morrison;2020-07-15
1599;Terry Pratchett;2020-07-16
1600;J.D. Robb;2020-07-16
1601;Jennifer McMahon;2020-07-15
1602;James Ellroy;2020-07-16
1603;Michael Ondaatje;2020-07-16
1604;Suzanne Collins;2020-07-16
1605;Martin Amis;2020-07-15
1606;Lara Adrian;2020-07-15
1607;Elizabeth Strout;2020-07-16
1608;Andrew  Smith;2020-07-15
1609;Alice Clayton;2020-07-16
1610;George R.R. Martin;2020-07-16
1611;Lisa Genova;2020-07-15
1612;Caleb Carr;2020-07-16
1613;John Sandford;2020-07-16
1614;Connie Willis;2020-07-16
1615;Alice Hoffman;2020-07-15
1616;Liane Moriarty;2020-07-15
1617;Naomi Novik;2020-07-16
1618;James Dashner;2020-07-15
1619;Francine Rivers;2020-07-16
1620;Michael Cunningham;2020-07-16
1621;Deborah Ellis;2020-07-15
1622;Sara Shepard;2020-07-16
1623;Nora Roberts;2020-07-16
1624;Jeffrey Archer;2020-07-16
1625;Peter Clines;2020-07-15
1626;Philippa Gregory;2020-07-15
1627;Josh McDowell;2020-07-16
1628;Dalton Trumbo;2020-07-15
1629;Norman Mailer;2020-07-16
1630;Shilpi Somaya Gowda;2020-07-16
1631;Bert Dodson;2020-07-15
1632;Lisa See;2020-07-16
1633;Jenny Offill;2020-07-16
1634;"P.C. Cast; Kristin Cast";2020-07-16
1635;Robin McKinley;2020-07-15
1636;Philip Roth;2020-07-15
1637;Chelsea Fine;2020-07-16
1638;Jacqueline Carey;2020-07-15
1639;Terry Pratchett;2020-07-16
1640;Matt Haig;2020-07-16
1641;Richelle Mead;2020-07-15
1642;Richard Dawkins;2020-07-16
1643;Jim Butcher;2020-07-16
1644;David Mitchell;2020-07-16
1645;Meg Cabot;2020-07-15
1646;Ellen Stoll Walsh;2020-07-15
1647;Agatha Christie;2020-07-16
1648;Katie Ashley;2020-07-15
1649;Howard Jacobson;2020-07-16
1650;Julia Quinn;2020-07-16
1651;Nora Roberts;2020-07-15
1652;Ted Dekker;2020-07-16
1653;Brad Thor;2020-07-16
1654;Glen Cook;2020-07-16
1655;James Joyce;2020-07-15
1656;Nick Bruel;2020-07-15
1657;David Brin;2020-07-16
1658;Ann Patchett;2020-07-15
1659;Eoin Colfer;2020-07-16
1660;George Carlin;2020-07-16
1661;Aimee Carter;2020-07-15
1662;Lauren Oliver;2020-07-16
1663;Susan Coolidge;2020-07-16
1664;Brian Jacques;2020-07-16
1665;Chloe Neill;2020-07-15
1666;Eoin Colfer;2020-07-15
1667;Rosamunde Pilcher;2020-07-16
1668;Cecelia Ahern;2020-07-15
1669;Ingrid Law;2020-07-16
1670;Raymond E. Feist;2020-07-16
1671;John Flanagan;2020-07-15
1672;Karen Chance;2020-07-16
1673;Roland Smith;2020-07-16
1674;Dennis Lehane;2020-07-16
1675;Ann Leckie;2020-07-15
1676;Nancy Horan;2020-07-15
1677;John Grisham;2020-07-16
1678;Kim Harrison;2020-07-15
1679;Jane Green;2020-07-16
1680;H.M. Ward;2020-07-16
1681;John Updike;2020-07-15
1682;Karen Cushman;2020-07-16
1683;Heather Gudenkauf;2020-07-16
1684;Anne McCaffrey;2020-07-16
1685;Vince Flynn;2020-07-15
1686;Ben H. Winters;2020-07-15
1687;David Baldacci;2020-07-16
1688;Gail Carson Levine;2020-07-15
1689;Lisa Scottoline;2020-07-16
1690;E.L. James;2020-07-16
1691;J.D. Robb;2020-07-15
1692;Natasha Friend;2020-07-16
1693;Tamora Pierce;2020-07-16
1694;Ernest Hemingway;2020-07-16
1695;Dean Koontz;2020-07-15
1696;Shayla Black;2020-07-15
1697;Jonathan Stroud;2020-07-16
1698;Ellen DeGeneres;2020-07-15
1699;Katie McGarry;2020-07-16
1700;Jon Krakauer;2020-07-16
1701;Karen Russell;2020-07-15
1702;Jamie McGuire;2020-07-16
1703;Erika Swyler;2020-07-16
1704;Tana French;2020-07-16
1705;Sylvia Day;2020-07-15
1706;Tahereh Mafi;2020-07-15
1707;James Dashner;2020-07-16
1708;Vince Flynn;2020-07-15
1709;Heather Dixon;2020-07-16
1710;Marian Keyes;2020-07-16
1711;Pittacus Lore;2020-07-15
1712;Meg Cabot;2020-07-16
1713;Donna Leon;2020-07-16
1714;Tom Clancy;2020-07-16
1715;Matthew Reilly;2020-07-15
1716;Terry Pratchett;2020-07-15
1717;Ian McEwan;2020-07-16
1718;Billie Letts;2020-07-15
1719;Stephen King;2020-07-16
1720;Tracy Chevalier;2020-07-16
1721;Patricia McCormick;2020-07-15
1722;Anne Rice;2020-07-16
1723;Dan Simmons;2020-07-16
1724;Dorothy Allison;2020-07-16
1725;Rob Bell;2020-07-15
1726;Patrick Carman;2020-07-15
1727;Chris Cleave;2020-07-16
1728;Harlan Coben;2020-07-15
1729;Garth Nix;2020-07-16
1730;Daphne du Maurier;2020-07-16
1731;Marguerite Henry;2020-07-15
1732;Katie McGarry;2020-07-16
1733;Linda Sue Park;2020-07-16
1734;Sylvia Day;2020-07-16
1735;Steve Berry;2020-07-15
1736;Robin Hobb;2020-07-15
1737;Huntley Fitzpatrick;2020-07-16
1738;Nalini Singh;2020-07-15
1739;Peter F. Hamilton;2020-07-16
1740;Iain Banks;2020-07-16
1741;Jack Kerouac;2020-07-15
1742;Lisa See;2020-07-16
1743;Iris Johansen;2020-07-16
1744;Jack Higgins;2020-07-16
1745;James A. Michener;2020-07-15
1746;Ursula K. Le Guin;2020-07-15
1747;Dennis Lehane;2020-07-16
1748;Agatha Christie;2020-07-15
1749;Terry Pratchett;2020-07-16
1750;Amanda Hocking;2020-07-16
1751;Carl Hiaasen;2020-07-15
1752;Jeanne DuPrau;2020-07-16
1753;Sarah J. Maas;2020-07-16
1754;Marieke Nijkamp;2020-07-16
1755;Judith McNaught;2020-07-15
1756;Sara Donati;2020-07-15
1757;Luke Rhinehart;2020-07-16
1758;J.D. Robb;2020-07-15
1759;"J.M. Barrie; Michael Hague";2020-07-16
1760;Sylvia Day;2020-07-16
1761;Harlan Coben;2020-07-15
1762;Paul Theroux;2020-07-16
1763;Dean Koontz;2020-07-16
1764;Ray Bradbury;2020-07-16
1765;Jennifer Crusie;2020-07-15
1766;James Dashner;2020-07-15
1767;Janet Fitch;2020-07-16
1768;Derek Landy;2020-07-15
1769;Carl Hiaasen;2020-07-16
1770;Aprilynne Pike;2020-07-16
1771;Agatha Christie;2020-07-15
1772;Ted Dekker;2020-07-16
1773;Guy Gavriel Kay;2020-07-16
1774;"J.J. Abrams; Doug Dorst";2020-07-16
1775;Julie Otsuka;2020-07-15
1776;Steven Erikson;2020-07-15
1777;John Saul;2020-07-16
1778;Candace Bushnell;2020-07-15
1779;Lauren Conrad;2020-07-16
1780;Steve Martin;2020-07-16
1781;S.C. Stephens;2020-07-15
1782;Kalayna Price;2020-07-16
1783;Ann Leckie;2020-07-16
1784;Donna Tartt;2020-07-16
1785;John Sandford;2020-07-15
1786;Mary Kubica;2020-07-15
1787;Piers Anthony;2020-07-16
1788;Amy Tan;2020-07-15
1789;Jean Ferris;2020-07-16
1790;Christina Schwarz;2020-07-16
1791;Ilona Andrews;2020-07-15
1792;Ann Rule;2020-07-16
1793;Charlaine Harris;2020-07-16
1794;Ian Fleming;2020-07-16
1795;Charles Frazier;2020-07-15
1796;Gayle Forman;2020-07-15
1797;Madeleine Wickham;2020-07-16
1798;Toni Morrison;2020-07-15
1799;Mitch Albom;2020-07-16
1800;Alex Haley;2020-07-16
1801;David Weber;2020-07-15
1802;Terry Pratchett;2020-07-16
1803;Robert   Harris;2020-07-16
1804;Pat Barker;2020-07-16
1805;Morris Gleitzman;2020-07-15
1806;Sarah Waters;2020-07-15
1807;Cornelia Funke;2020-07-16
1808;Sara Paretsky;2020-07-15
1809;Robert Jordan;2020-07-16
1810;Lisa O'Donnell;2020-07-16
1811;Leigh Bardugo;2020-07-15
1812;Ian Fleming;2020-07-16
1813;Aleatha Romig;2020-07-16
1814;Kristin Hannah;2020-07-16
1815;Tess Gerritsen;2020-07-15
1816;Raymond E. Feist;2020-07-15
1817;Robert McCloskey;2020-07-16
1818;Lee Child;2020-07-15
1819;Jojo Moyes;2020-07-16
1820;Mercer Mayer;2020-07-16
1821;Peter Straub;2020-07-15
1822;Rick Bragg;2020-07-16
1823;Sharon Creech;2020-07-16
1824;Amy Ewing;2020-07-16
1825;Elizabeth Kostova;2020-07-15
1826;Carrie Ryan;2020-07-15
1827;Anne Tyler;2020-07-16
1828;V.C. Andrews;2020-07-15
1829;Sara Gruen;2020-07-16
1830;Tom Perrotta;2020-07-16
1831;Chris Bohjalian;2020-07-15
1832;Gena Showalter;2020-07-16
1833;Stephen King;2020-07-16
1834;Larry McMurtry;2020-07-16
1835;David Mamet;2020-07-15
1836;Daniel Silva;2020-07-15
1837;James Patterson;2020-07-16
1838;John Connolly;2020-07-15
1839;Kaui Hart Hemmings;2020-07-16
1840;Leo Lionni;2020-07-16
1841;John Sandford;2020-07-15
1842;Scott Lynch;2020-07-16
1843;Kresley Cole;2020-07-16
1844;Jerry Pinkney;2020-07-16
1845;Jean Rhys;2020-07-15
1846;P.D. James;2020-07-15
1847;Marie Lu;2020-07-16
1848;Enid Blyton;2020-07-15
1849;C.S. Lewis;2020-07-16
1850;Peter F. Hamilton;2020-07-16
1851;Danielle Steel;2020-07-15
1852;Douglas Coupland;2020-07-16
1853;Stephenie Meyer;2020-07-16
1854;"P.C. Cast; Kristin Cast";2020-07-16
1855;Tess Gerritsen;2020-07-15
1856;John Scalzi;2020-07-15
1857;Julianne Donaldson;2020-07-16
1858;Jeffrey Archer;2020-07-15
1859;Dennis Lehane;2020-07-16
1860;Jean M. Auel;2020-07-16
1861;Vince Flynn;2020-07-15
1862;Jacqueline Winspear;2020-07-16
1863;Lisa Gardner;2020-07-16
1864;Aprilynne Pike;2020-07-16
1865;Michael Crichton;2020-07-15
1866;Alexandra Bracken;2020-07-15
1867;Sherrilyn Kenyon;2020-07-16
1868;Rashmi Bansal;2020-07-15
1869;Jane Green;2020-07-16
1870;Stephenie Meyer;2020-07-16
1871;Glen Duncan;2020-07-15
1872;Anna Godbersen;2020-07-16
1873;Jan Karon;2020-07-16
1874;Julia Quinn;2020-07-16
1875;Kevin Hearne;2020-07-15
1876;Ellen Schreiber;2020-07-15
1877;Alastair Reynolds;2020-07-16
1878;David Baldacci;2020-07-15
1879;Tami Hoag;2020-07-16
1880;Meg Cabot;2020-07-16
1881;Tracy Chevalier;2020-07-15
1882;Gail Carriger;2020-07-16
1883;Roger Zelazny;2020-07-16
1884;Steven Erikson;2020-07-16
1885;David  Brooks;2020-07-15
1886;Laurell K. Hamilton;2020-07-15
1887;Chinua Achebe;2020-07-16
1888;Janet Evanovich;2020-07-15
1889;Sarah Dessen;2020-07-16
1890;Michael Connelly;2020-07-16
1891;Laura Wiess;2020-07-15
1892;J.D. Robb;2020-07-16
1893;Jennifer Donnelly;2020-07-16
1894;Bernard Cornwell;2020-07-16
1895;Charlaine Harris;2020-07-15
1896;Joe Abercrombie;2020-07-15
1897;David Sedaris;2020-07-16
1898;"Cece Bell; David Lasky";2020-07-15
1899;Anne McCaffrey;2020-07-16
1900;Spencer Quinn;2020-07-16
1901;Heather Brewer;2020-07-15
1902;Sharon Guskin;2020-07-16
1903;C.S. Lewis;2020-07-16
1904;Brian Jacques;2020-07-16
1905;Helen Macdonald;2020-07-15
1906;Iain M. Banks;2020-07-15
1907;Meg Cabot;2020-07-16
1908;Susane Colasanti;2020-07-15
1909;Malcolm Lowry;2020-07-16
1910;David Baldacci;2020-07-16
1911;Kahlil Gibran;2020-07-15
1912;Tatiana de Rosnay;2020-07-16
1913;John Flanagan;2020-07-16
1914;Joyce Carol Oates;2020-07-16
1915;Wendy Mass;2020-07-15
1916;Christine Feehan;2020-07-15
1917;Sarah Dessen;2020-07-16
1918;Simone Elkeles;2020-07-15
1919;Robert Ludlum;2020-07-16
1920;Melissa Nathan;2020-07-16
1921;Cinda Williams Chima;2020-07-15
1922;Anne Rice;2020-07-16
1923;Charlaine Harris;2020-07-16
1924;Rick Riordan;2020-07-16
1925;Nora Roberts;2020-07-15
1926;Lionel Shriver;2020-07-15
1927;Leon Uris;2020-07-16
1928;Becca Fitzpatrick;2020-07-15
1929;Uwem Akpan;2020-07-16
1930;Mary Doria Russell;2020-07-16
1931;Bree Despain;2020-07-15
1932;Penelope Ward;2020-07-16
1933;Janet Evanovich;2020-07-16
1934;Sandra Brown;2020-07-16
1935;Eric Carle;2020-07-15
1936;Amy Plum;2020-07-15
1937;Terry Pratchett;2020-07-16
1938;John Keegan;2020-07-15
1939;Mary Kay Andrews;2020-07-16
1940;David Shannon;2020-07-16
1941;Diane Mott Davidson;2020-07-15
1942;Robert Jackson Bennett;2020-07-16
1943;Agatha Christie;2020-07-16
1944;J.M. Coetzee;2020-07-16
1945;L.J. Smith;2020-07-15
1946;James Dashner;2020-07-15
1947;Michael Connelly;2020-07-16
1948;Jim Butcher;2020-07-15
1949;Nora Roberts;2020-07-16
1950;Jack London;2020-07-16
1951;Kristin Hannah;2020-07-15
1952;Ian McGuire;2020-07-16
1953;Stephen King;2020-07-16
1954;Terry Pratchett;2020-07-16
1955;Graeme Simsion;2020-07-15
1956;Julia Child;2020-07-15
1957;M.M. Kaye;2020-07-16
1958;Deanna Raybourn;2020-07-15
1959;Louisa May Alcott;2020-07-16
1960;Miriam Toews;2020-07-16
1961;Ira Levin;2020-07-15
1962;Val McDermid;2020-07-16
1963;Sarah Waters;2020-07-16
1964;Kathy Reichs;2020-07-16
1965;Kurt Vonnegut Jr.;2020-07-15
1966;Iris Johansen;2020-07-15
1967;A.S. King;2020-07-16
1968;Jean-Paul Sartre;2020-07-15
1969;Patrick Rothfuss;2020-07-16
1970;Bernard Cornwell;2020-07-16
1971;Robison Wells;2020-07-15
1972;C.S. Lewis;2020-07-16
1973;Raymond Carver;2020-07-16
1974;David Mitchell;2020-07-16
1975;Janet Evanovich;2020-07-15
1976;Margaret Atwood;2020-07-15
1977;Sharon M. Draper;2020-07-16
1978;Mary Higgins Clark;2020-07-15
1979;Dean Koontz;2020-07-16
1980;Dashiell Hammett;2020-07-16
1981;Tracy Letts;2020-07-15
1982;Julie James;2020-07-16
1983;David Levithan;2020-07-16
1984;E. Nesbit;2020-07-16
1985;Gene Wolfe;2020-07-15
1986;William Gibson;2020-07-15
1987;Alice LaPlante;2020-07-16
1988;Michael A. Singer;2020-07-15
1989;Tom Clancy;2020-07-16
1990;Chuck Palahniuk;2020-07-16
1991;Vikas Swarup;2020-07-15
1992;Toni Morrison;2020-07-16
1993;Emily Giffin;2020-07-16
1994;Terry Brooks;2020-07-16
1995;Nora Roberts;2020-07-15
1996;William Shakespeare;2020-07-15
1997;Jennifer Weiner;2020-07-16
1998;David Wiesner;2020-07-15
1999;Sandra Boynton;2020-07-16
2000;Richard   Preston;2020-07-16
2001;Iain M. Banks;2020-07-15
2002;Cynthia Hand;2020-07-16
2003;Dr. Seuss;2020-07-16
2004;Michael J. Fox;2020-07-16
2005;Gena Showalter;2020-07-15
2006;Terry Pratchett;2020-07-15
2007;Naomi Klein;2020-07-16
2008;Sandra Brown;2020-07-15
2009;Armistead Maupin;2020-07-16
2010;David Seltzer;2020-07-16
2011;Sidney Sheldon;2020-07-15
2012;"P.C. Cast; Kristin Cast";2020-07-16
2013;Nora Roberts;2020-07-16
2014;Isaac Asimov;2020-07-16
2015;C.J. Sansom;2020-07-15
2016;Karen Marie Moning;2020-07-15
2017;Alyson Noel;2020-07-16
2018;Thomas Pynchon;2020-07-15
2019;David Eddings;2020-07-16
2020;Dee Henderson;2020-07-16
2021;J.D. Robb;2020-07-15
2022;Lisa Gardner;2020-07-16
2023;Wendy Mass;2020-07-16
2024;Sarah Addison Allen;2020-07-16
2025;Patricia Cornwell;2020-07-15
2026;Jennifer Haigh;2020-07-15
2027;Colum McCann;2020-07-16
2028;David Baldacci;2020-07-15
2029;C.S. Lewis;2020-07-16
2030;Joan Bauer;2020-07-16
2031;Kim Harrison;2020-07-15
2032;Annie Proulx;2020-07-16
2033;Beryl Markham;2020-07-16
2034;Lian Hearn;2020-07-16
2035;Brad Thor;2020-07-15
2036;Thor Heyerdahl;2020-07-15
2037;Hugh Laurie;2020-07-16
2038;Ken Follett;2020-07-15
2039;Ellen Hopkins;2020-07-16
2040;Sara Shepard;2020-07-16
2041;Diane Chamberlain;2020-07-15
2042;Heather Gudenkauf;2020-07-16
2043;"James Joyce; Jeri Johnson";2020-07-16
2044;Christine Feehan;2020-07-16
2045;Nevil Shute;2020-07-15
2046;Jennifer A. Nielsen;2020-07-15
2047;Sandra Brown;2020-07-16
2048;Irvine Welsh;2020-07-15
2049;Patricia Cornwell;2020-07-16
2050;Stephen R. Donaldson;2020-07-16
2051;Clive Cussler;2020-07-15
2052;Sharon Kay Penman;2020-07-16
2053;Derek Landy;2020-07-16
2054;Michael Connelly;2020-07-16
2055;Michael Connelly;2020-07-15
2056;Kurt Vonnegut Jr.;2020-07-15
2057;Olivia Cunning;2020-07-16
2058;Tom Clancy;2020-07-15
2059;Gennifer Albin;2020-07-16
2060;Ben Okri;2020-07-16
2061;Patricia Cornwell;2020-07-15
2062;John Fowles;2020-07-16
2063;Brent Weeks;2020-07-16
2064;Robert Crais;2020-07-16
2065;Jane Green;2020-07-15
2066;Yotam Ottolenghi;2020-07-15
2067;Nathan Filer;2020-07-16
2068;Linda Howard;2020-07-15
2069;Josephine Tey;2020-07-16
2070;Terry Pratchett;2020-07-16
2071;Jon Klassen;2020-07-15
2072;Kristan Higgins;2020-07-16
2073;Sarah Dessen;2020-07-16
2074;Robert Jordan;2020-07-16
2075;Harlan Coben;2020-07-15
2076;Mark Helprin;2020-07-15
2077;Edmund Morris;2020-07-16
2078;Maria V. Snyder;2020-07-15
2079;Jane Austen;2020-07-16
2080;Kevin Kwan;2020-07-16
2081;George R.R. Martin;2020-07-15
2082;Ilona Andrews;2020-07-16
2083;Lynsay Sands;2020-07-16
2084;John Irving;2020-07-16
2085;C.S. Lewis;2020-07-15
2086;Jack Kerouac;2020-07-15
2087;Robert Hicks;2020-07-16
2088;Gordon Korman;2020-07-15
2089;Joanna Trollope;2020-07-16
2090;Michel Houellebecq;2020-07-16
2091;Ann Voskamp;2020-07-15
2092;P.D. Eastman;2020-07-16
2093;Friedrich A. Hayek;2020-07-16
2094;Carol Shields;2020-07-16
2095;Paulo Coelho;2020-07-15
2096;Patricia Cornwell;2020-07-15
2097;Anne Tyler;2020-07-16
2098;Mark  Lawrence;2020-07-15
2099;James Luceno;2020-07-16
2100;Edith Wharton;2020-07-16
2101;Janet Evanovich;2020-07-15
2102;Cassandra Clare;2020-07-16
2103;Meredith Wild;2020-07-16
2104;Daniel Silva;2020-07-16
2105;Truman Capote;2020-07-15
2106;Ally Carter;2020-07-15
2107;Lisa Kleypas;2020-07-16
2108;John Steinbeck;2020-07-15
2109;Terry Brooks;2020-07-16
2110;Rick Riordan;2020-07-16
2111;Rick Riordan;2020-07-15
2112;Wilbur Smith;2020-07-16
2113;Marcus Sakey;2020-07-16
2114;John Updike;2020-07-16
2115;David Eddings;2020-07-15
2116;Dennis Lehane;2020-07-15
2117;John Green;2020-07-16
2118;Kresley Cole;2020-07-15
2119;Jack London;2020-07-16
2120;Victoria Aveyard;2020-07-16
2121;Sara Raasch;2020-07-15
2122;Mario Puzo;2020-07-16
2123;Beatriz Williams;2020-07-16
2124;Jeffery Deaver;2020-07-16
2125;N.K. Jemisin;2020-07-15
2126;Kathleen Kent;2020-07-15
2127;Umberto Eco;2020-07-16
2128;Cathy Glass;2020-07-15
2129;Dean Koontz;2020-07-16
2130;Elin Hilderbrand;2020-07-16
2131;Dan Chaon;2020-07-15
2132;Sandra Dallas;2020-07-16
2133;Django Wexler;2020-07-16
2134;Rachel Vincent;2020-07-16
2135;Julie Garwood;2020-07-15
2136;Jude Deveraux;2020-07-15
2137;Dennis Lehane;2020-07-16
2138;Cecelia Ahern;2020-07-15
2139;Anne Bishop;2020-07-16
2140;Sherrilyn Kenyon;2020-07-16
2141;Simone Elkeles;2020-07-15
2142;Maria V. Snyder;2020-07-16
2143;Lee Child;2020-07-16
2144;Bernard Cornwell;2020-07-16
2145;Sarah Waters;2020-07-15
2146;Kate Atkinson;2020-07-15
2147;Sue Monk Kidd;2020-07-16
2148;Rosamund Lupton;2020-07-15
2149;J.R. Ward;2020-07-16
2150;Anita Diamant;2020-07-16
2151;Lauren Groff;2020-07-15
2152;Bret Easton Ellis;2020-07-16
2153;C.J. Sansom;2020-07-16
2154;Anita Diamant;2020-07-16
2155;Anthony Horowitz;2020-07-15
2156;Meg Cabot;2020-07-15
2157;Frank Herbert;2020-07-16
2158;Kate Hamer;2020-07-15
2159;Sophie Kinsella;2020-07-16
2160;Kristen Ashley;2020-07-16
2161;Meg Cabot;2020-07-15
2162;Jerry Spinelli;2020-07-16
2163;C.J. Sansom;2020-07-16
2164;Johanna Edwards;2020-07-16
2165;James Surowiecki;2020-07-15
2166;Ally Condie;2020-07-15
2167;Mercer Mayer;2020-07-16
2168;Peter Mayle;2020-07-15
2169;Chris d'Lacey;2020-07-16
2170;Shelly Crane;2020-07-16
2171;Melina Marchetta;2020-07-15
2172;R.L. Mathewson;2020-07-16
2173;A.S. Byatt;2020-07-16
2174;Stephen Fry;2020-07-16
2175;Tess Gerritsen;2020-07-15
2176;Richard Ford;2020-07-15
2177;Jonathan Kellerman;2020-07-16
2178;Kate Atkinson;2020-07-15
2179;Jude Watson;2020-07-16
2180;Greg Iles;2020-07-16
2181;Terry Goodkind;2020-07-15
2182;Robert Jordan;2020-07-16
2183;Maeve Binchy;2020-07-16
2184;Ben Aaronovitch;2020-07-16
2185;Richard Castle;2020-07-15
2186;Sandra Brown;2020-07-15
2187;James Patterson;2020-07-16
2188;Dan Simmons;2020-07-15
2189;Rick Riordan;2020-07-16
2190;Christos Tsiolkas;2020-07-16
2191;R.A. Salvatore;2020-07-15
2192;John Gardner;2020-07-16
2193;Nelson DeMille;2020-07-16
2194;Mercer Mayer;2020-07-16
2195;James Patterson;2020-07-15
2196;Sarah J. Maas;2020-07-15
2197;Anita Shreve;2020-07-16
2198;Eleanor Brown;2020-07-15
2199;Joe Hill;2020-07-16
2200;Tana French;2020-07-16
2201;Anne Rice;2020-07-15
2202;Charles Bukowski;2020-07-16
2203;Amy Waldman;2020-07-16
2204;D.J. MacHale;2020-07-16
2205;Milan Kundera;2020-07-15
2206;Meg Cabot;2020-07-15
2207;Jacqueline Woodson;2020-07-16
2208;Anna Godbersen;2020-07-15
2209;Patricia Cornwell;2020-07-16
2210;Alfred Bester;2020-07-16
2211;P.D. James;2020-07-15
2212;Terry Brooks;2020-07-16
2213;Walter Mosley;2020-07-16
2214;Julie James;2020-07-16
2215;Salman Rushdie;2020-07-15
2216;Tara Conklin;2020-07-15
2217;Darynda Jones;2020-07-16
2218;Richelle Mead;2020-07-15
2219;Bill Bryson;2020-07-16
2220;William Goldman;2020-07-16
2221;Sara Gruen;2020-07-15
2222;Guy Gavriel Kay;2020-07-16
2223;James Redfield;2020-07-16
2224;Christopher Pike;2020-07-16
2225;Piers Anthony;2020-07-15
2226;"Roald Dahl; Quentin Blake";2020-07-15
2227;Agatha Christie;2020-07-16
2228;Leigh Bardugo;2020-07-15
2229;Paulo Coelho;2020-07-16
2230;Mary Kay Andrews;2020-07-16
2231;C.S. Lewis;2020-07-15
2232;Aravind Adiga;2020-07-16
2233;Frederick Forsyth;2020-07-16
2234;Robert McCammon;2020-07-16
2235;Tom Clancy;2020-07-15
2236;Louise Penny;2020-07-15
2237;Michael Connelly;2020-07-16
2238;J.R. Ward;2020-07-15
2239;Jim Butcher;2020-07-16
2240;Elizabeth Flock;2020-07-16
2241;Daniel Silva;2020-07-15
2242;Charlie N. Holmberg;2020-07-16
2243;David Gemmell;2020-07-16
2244;Sophie Kinsella;2020-07-16
2245;Sarah J. Maas;2020-07-15
2246;Philip Pullman;2020-07-15
2247;Cat Patrick;2020-07-16
2248;Samantha Shannon;2020-07-15
2249;John Marsden;2020-07-16
2250;Don Winslow;2020-07-16
2251;Ashwin Sanghi;2020-07-15
2252;Scott Turow;2020-07-16
2253;Jodi Picoult;2020-07-16
2254;Ursula K. Le Guin;2020-07-16
2255;Rachel Hauck;2020-07-15
2256;Charles Bukowski;2020-07-15
2257;Scott Westerfeld;2020-07-16
2258;Tessa Dare;2020-07-15
2259;Nora Roberts;2020-07-16
2260;Mary Kubica;2020-07-16
2261;Graham Greene;2020-07-15
2262;Anna Quindlen;2020-07-16
2263;Amy Bloom;2020-07-16
2264;Terry Hayes;2020-07-16
2265;Sue Grafton;2020-07-15
2266;Julie James;2020-07-15
2267;Diane Chamberlain;2020-07-16
2268;Laurent Binet;2020-07-15
2269;Mary E. Pearson;2020-07-16
2270;Jack McCallum;2020-07-16
2271;Richard Paul Evans;2020-07-15
2272;Jennifer Crusie;2020-07-16
2273;Kiera Cass;2020-07-16
2274;Gail Carriger;2020-07-16
2275;Michael Herr;2020-07-15
2276;Laurell K. Hamilton;2020-07-15
2277;Gena Showalter;2020-07-16
2278;Eric Carle;2020-07-15
2279;Paul Harding;2020-07-16
2280;Olive Ann Burns;2020-07-16
2281;Gayle Forman;2020-07-15
2282;Guy Gavriel Kay;2020-07-16
2283;Steven Erikson;2020-07-16
2284;Martha Stout;2020-07-16
2285;Daniel Silva;2020-07-15
2286;Robin Hobb;2020-07-15
2287;James Rollins;2020-07-16
2288;David Baldacci;2020-07-15
2289;James Ellroy;2020-07-16
2290;Paulette Jiles;2020-07-16
2291;Alyson Noel;2020-07-15
2292;Beatrix Potter;2020-07-16
2293;B.A. Paris;2020-07-16
2294;Erin Hunter;2020-07-16
2295;Nicholas Sparks;2020-07-15
2296;Colleen Hoover;2020-07-15
