id;title;description;publication_date;price
2393;Washington: A Life;Simon  Schuster;2020-07-16;506
2394;The Very Hungry Caterpillar;Harlequin Temptation;2020-07-16;207
2395;The Expats;St. Martin's Paperbacks;2020-07-15;496
2396;Pope Joan;Faber  Faber;2020-07-15;589
2397;The Flood;Virago UK;2020-07-16;240
2398;The Tell-Tale Heart;William Morrow Paperbacks;2020-07-15;240
2399;Wildwood;Virago UK;2020-07-16;240
2400;The Areas of My Expertise;Albin Michel;2020-07-16;288
2401;Bleachers;Longman;2020-07-15;112
2402;Outer Dark;Ebury Press;2020-07-16;340
2403;Frederica;Knopf Publishing Group;2020-07-16;137
2404;Er ist wieder da;Ballantine Books;2020-07-16;217
2405;Dragonquest;DK Publishing;2020-07-15;36
2406;Audrey Rose;HarperCollins;2020-07-15;40
2407;Pattern Recognition;DK Children;2020-07-16;12
2408;The Way of Zen;Albert Whitman  Company;2020-07-15;24
2409;True Believer;Disney Press;2020-07-16;10
2410;City of Glass;Amistad;2020-07-16;320
2411;Many Waters;Scholastic Paperbacks;2020-07-15;128
2412;The Undomestic Goddess;Mondadori;2020-07-16;400
2413;Quentins;Dover Publications;2020-07-16;260
2414;The Lifeboat;Dover Publications;2020-07-16;275
2415;East;Dover Publications;2020-07-15;96
2416;Cross Bones;W. W. Norton  Company;2020-07-15;288
2417;A Caribbean Mystery;Penguin Classics;2020-07-16;159
2418;Three to Get Deadly;Penguin Books;2020-07-15;149
2419;The Nix;Heyne;2020-07-16;235
2420;Once;Methuen Drama;2020-07-16;51
2421;Paladin of Souls;Da Capo Press;2020-07-15;224
2422;Black Magic Sanction;W.W. Norton  Company;2020-07-16;260
2423;The First Wives Club;Vintage Classics;2020-07-16;649
2424;Lost In Time;Black Swan;2020-07-16;460
2425;A Wizard of Earthsea;Black Swan;2020-07-15;400
2426;Thief of Time;Holt Paperbacks;2020-07-15;560
2427;The Sinner;Gallimard Jeunesse;2020-07-16;123
2428;Maurice;Simon  Schuster;2020-07-15;249
2429;Round Ireland with a Fridge;Barrons Educational Series;2020-07-16;224
2430;The Quillan Games;Warner Books;2020-07-16;198
2431;Point Blanc;Warner Books;2020-07-15;227
2432;Second Grave on the Left;Warner Books;2020-07-16;194
2433;Rubyfruit Jungle;Cliffs Notes;2020-07-16;112
2434;Murder in Mesopotamia;Warner Books;2020-07-16;214
2435;Rocket Boys;Harper Perennial;2020-07-15;333
2436;Bluebeard;Grosset & Dunlap;2020-07-15;105
2437;The Elite;Wings;2020-07-16;192
2438;The Blue Bistro;HarperEntertainment;2020-07-15;288
2439;Mightier Than the Sword;Dark Horse Comics;2020-07-16;80
2440;The Outcasts;HarperEntertainment;2020-07-16;288
2441;House Rules;Ballantine Books;2020-07-15;0
2442;Miss Rumphius;Ballantine Books;2020-07-16;183
2443;O Monte Cinco;Titan Books Ltd;2020-07-16;72
2444;Last Breath;Award Books;2020-07-16;158
2445;Tangerine;Crown;2020-07-15;342
2446;About That Night;Modern Library;2020-07-15;192
2447;The Laughing Corpse;Holt McDougal;2020-07-16;928
2448;Thirst No. 2;William Morrow Paperbacks;2020-07-15;416
2449;La Chute;Random House Value Publishing;2020-07-16;0
2450;The Emperor's Blades;Dover Publications;2020-07-16;320
2451;The Silver Star;Scholastic Paperbacks;2020-07-15;208
2452;The Story of an Hour;Signet;2020-07-16;256
2453;To the Nines;Naxos Audiobooks;2020-07-16;5
2454;The Dark And Hollow Places;Candlewick Press;2020-07-16;272
2455;A Long Way Down;Abdo Publishing Company;2020-07-15;237
2456;Knit Two;Hachette Books;2020-07-15;320
2457;The Vor Game;Hachette Books;2020-07-16;336
2458;The Path to Power;Little  Brown Books for Young Readers;2020-07-15;272
2459;Frostbitten;Scholastic Paperbacks;2020-07-16;169
2460;Vinegar Hill (P.S.);Penguin Books;2020-07-16;372
2461;My Favorite Mistake;Little  Brown Young Readers;2020-07-15;208
2462;Edge of Eternity;Albury Publishing;2020-07-16;383
2463;The Moon and More;Little  Brown Books for Young Readers;2020-07-16;202
2464;Furiously Happy;FaithWords;2020-07-16;320
2465;The Innocent;Thunder's Mouth Press Books;2020-07-15;371
2466;A Walk Across America;University of Chicago Press;2020-07-15;336
2467;Magician;Bethany House Publishers;2020-07-16;184
2468;The Prophet of Yonwood;Watson-Guptill Publications;2020-07-15;144
2469;All Together Dead;Deadite Press (Eraserhead Press);2020-07-16;390
2470;The Crimson Crown;Dr. Master Productions Inc.;2020-07-16;184
2471;The River Why;Seven Stories Press;2020-07-15;234
2472;Wemberly Worried;Anchor Books;2020-07-16;222
2473;Eve;Citadel;2020-07-16;288
2474;Salt: A World History;Back Bay;2020-07-16;134
2475;Galileo's Daughter;Lyons Press;2020-07-15;256
2476;The Quiet Game;Signet;2020-07-15;370
2477;Bloody Bones;Little  Brown & Company;2020-07-16;6
2478;Flipped;Roberts Rinehart Publishers;2020-07-15;128
2479;Dune;Bantam Press;2020-07-16;496
2480;The Dressmaker;Doubleday;2020-07-16;447
2481;This Charming Man;Vintage;2020-07-15;224
2482;B is for Burglar;Lawbook Exchange  Ltd.;2020-07-16;166
2483;Hornet's Nest;University of Chicago Press;2020-07-16;498
2484;Henry & Ramona;Bedford Books;2020-07-16;169
2485;The Winner's Kiss;Books on Tape;2020-07-15;26
2486;Stolen;Broadway Books;2020-07-15;320
2487;I Still Dream About You;Avon;2020-07-16;480
2488;The Scarlet Pimpernel;East Bay Municipal Utility District;2020-07-15;336
2489;Among Others;National Geographic Society;2020-07-16;504
2490;The Secret;Amherst Media  Inc.;2020-07-16;128
2491;The Boy Next Door (Boy #1);Piatkus Books;2020-07-15;354
2492;Fade Out;Amherst Media;2020-07-16;124
2493;Dearly Devoted Dexter;Pocket;2020-07-16;345
2494;The Razor's Edge;Express Publishing;2020-07-16;32
2495;The Two Pearls of Wisdom;W. W. Norton & Company;2020-07-15;462
2496;Startide Rising;W. W. Norton & Company;2020-07-15;517
2497;Finding Audrey;Oxford University Press  USA;2020-07-16;229
2498;Dead Beat;Columbia University Press;2020-07-15;265
2499;Orientalism;Dover Publications;2020-07-16;176
2500;The Lady in the Lake;Touchstone;2020-07-16;652
2501;Winning;Dover Publications;2020-07-15;870
2502;You Can Win;William Morrow Paperbacks;2020-07-16;352
2503;Maitreyi;DK Children;2020-07-16;435
2504;The Aquitaine Progression;Grosset & Dunlap;2020-07-16;2690
2505;Act of Treason;Grosset & Dunlap;2020-07-15;152
2506;Life;Barefoot Books;2020-07-15;3342
2507;Damned;Grosset & Dunlap;2020-07-16;815
2508;Say Cheese and Die!;Anchor;2020-07-15;815
2509;Absurdistan;For Dummies;2020-07-16;215
2510;Copper Sun;Dial;2020-07-16;6
2511;Skeletons at the Feast;Routledge;2020-07-15;815
2512;Peril at End House;Grosset & Dunlap;2020-07-16;544
2513;The Dragon Keeper;Chronicle Books;2020-07-16;55
2514;Practical Magic;Thames  Hudson;2020-07-16;256
2515;The Gate House;University Press of Florida;2020-07-15;335
2516;Magic Shifts;Starcatcher Press;2020-07-15;304
2517;A Quick Bite;Starcatcher Press;2020-07-16;299
2518;Seize the Night;Scholastic;2020-07-15;254
2519;Nemesis;New Directions;2020-07-16;324
2520;Dirty;Dell;2020-07-16;270
2521;After;Sudamericana;2020-07-15;1728
2522;The Templar Legacy;HarperCollins Publishers;2020-07-16;1184
2523;After the Night;William Morrow;2020-07-16;398
2524;Kidnapped;Arrow;2020-07-16;1216
2525;Fated;William Morrow Paperbacks;2020-07-15;218
2526;Blackout;William Morrow Paperbacks;2020-07-15;224
2527;Hard Magic;William Morrow Paperbacks;2020-07-16;558
2528;Third Grave Dead Ahead;New Island Books;2020-07-15;208
2529;Blue Dahlia;VIZ Media LLC;2020-07-16;48
2530;Fool Me Once;VIZ Media LLC;2020-07-16;144
2531;"Black Cat; Volume 1";Black Swan;2020-07-15;56
2532;Stars of Fortune;Everyman's Library;2020-07-16;228
2533;Ramona and Her Mother;Frederick P. Lenz Foundation for American Buddhism;2020-07-16;304
2534;Accelerando;Frederick P. Lenz Foundation for American Buddhism;2020-07-16;256
2535;Breaking Dawn;Simon & Schuster;2020-07-15;137
2536;The Weight of Glory;Simon  Schuster;2020-07-15;228
2537;Casino Royale;Simon  Schuster;2020-07-16;339
2538;Oryx and Crake;Regnery Publishing;2020-07-15;369
2539;A Spot of Bother;Ballantine Books;2020-07-16;388
2540;The Pale Rider;Three Rivers Press (CA);2020-07-16;14
2541;Such a Rush;Simon  Schuster;2020-07-15;576
2542;The Physician;Ballantine Books;2020-07-16;334
2543;Skipping Christmas;Dutton;2020-07-16;352
2544;Sweethearts;NAL;2020-07-16;416
2545;The Plains of Passage;Signet;2020-07-15;248
2546;Airframe;Random House;2020-07-15;128
2547;Clean Sweep;No Exit Press;2020-07-16;288
2548;"Gone; Baby; Gone";Ballantine Books;2020-07-15;720
2549;Daughter;Tarcherperigee;2020-07-16;448
2550;Frost Burned;W. W. Norton  Company;2020-07-16;160
2551;Twelve Sharp;Dell Publishing Company;2020-07-15;288
2552;Flyy Girl;Dell Publishing Company;2020-07-16;208
2553;"Rabbit; Run";Dell Publishing Company;2020-07-16;81
2554;Homo faber: Ein Bericht;Dell Publishing Company;2020-07-16;249
2555;The Howling;Dial Press;2020-07-15;138
2556;Hades;Transworld Publishers;2020-07-15;128
2557;Babylon's Ashes;Riverhead Books;2020-07-16;192
2558;The Big Bad Wolf  ;University of Illinois Press;2020-07-15;108
2559;Nemesis;Chronicle Books;2020-07-16;352
2560;Captains Courageous;Modern Library/Random House (NY);2020-07-16;192
2561;First Strike;Princeton University Press;2020-07-15;192
2562;The Serpent of Venice;Dover Publications;2020-07-16;832
2563;Along for the Ride;Random House;2020-07-16;123
2564;Coyote Blue;Oxford University Press;2020-07-16;128
2565;Tribute;Princeton University Press;2020-07-15;423
2566;Foundation's Edge;Indiana University Press;2020-07-15;436
2567;The Violets of March;Hackett Publishing Company  Inc.;2020-07-16;331
2568;Dead to the World;Mayfield Publishing Company (NY);2020-07-15;592
2569;The Pilgrims of Rayne;Orchard Books;2020-07-16;480
2570;Loser;Albert Whitman  Company;2020-07-16;426
2571;Elizabeth Is Missing;Modern Library;2020-07-15;471
2572;The Kings of Clonmel;Abingdon Press;2020-07-16;192
2573;The Measure of a Lady;Thomas Nelson;2020-07-16;544
2574;Apple Tree Yard;Signet;2020-07-16;291
2575;Soulless;W.W. Norton & Company;2020-07-15;256
2576;The Darkest Kiss;Destiny Image Incorporated;2020-07-15;205
2577;The Well of Lost Plots;William B. Eerdmans Publishing Company;2020-07-16;240
2578;The Far Side Gallery;Pocket Books;2020-07-15;336
2579;George;Harper Perennial;2020-07-16;386
2580;The Comfort of Strangers;Little  Brown Book Group;2020-07-16;260
2581;The Novice;Ballantine Books;2020-07-15;384
2582;The Mane Event;Planeta Publishing;2020-07-16;260
2583;I Am the Cheese;Mariner Books;2020-07-16;391
2584;On a Pale Horse;Penguin Group(CA);2020-07-16;864
2585;The Caves of Steel;Houghton Mifflin Harcourt;2020-07-15;873
2586;Tricked;Pantheon;2020-07-15;240
2587;"Envy (Fallen Angels; #3)";Pantheon Books;2020-07-16;206
2588;Light on Snow;Pantheon Books;2020-07-15;514
2589;Clockwork Princess;Pantheon;2020-07-16;838
2590;The Returned;Phoenix Press;2020-07-16;960
2591;No Humans Involved;Hyperion Books;2020-07-15;837
2592;The Summer Tree;Starscape;2020-07-16;80
2593;That Hideous Strength;Tor Books;2020-07-16;803
2594;The Manchurian Candidate;Ballantine Books;2020-07-16;752
2595;Cannery Row ;Tom Doherty Tor Fantasy;2020-07-15;803
2596;Inside the O'Briens;Thomas Nelson;2020-07-15;360
2597;Beautiful Ruins;Luna;2020-07-16;128
2598;The Beautiful Mystery;HarperOne;2020-07-15;160
2599;The Painted Veil;Vintage Classics;2020-07-16;367
2600;The Blinding Knife;HarperOne;2020-07-16;256
2601;Sometimes Never;Berkley Books;2020-07-15;320
2602;Skinny Dip;Vintage Books;2020-07-16;100
2603;Zero History;Vintage;2020-07-16;224
2604;Look to Windward;William Morrow;2020-07-16;216
2605;Wolf in White Van;No Exit Press;2020-07-15;48
2606;Evil Under the Sun;No Exit Press;2020-07-15;360
2607;Forget You;Bantam Books;2020-07-16;250
2608;Sea of Poppies;Rowohlt Verlag;2020-07-15;32
2609;Lady Friday;Rowohlt Verlag;2020-07-16;205
2610;Phantoms;Rowohlt Verlag;2020-07-16;367
2611;Get Shorty;Dial Press;2020-07-15;352
2612;Raven Black;Dial Press Trade Paperback;2020-07-16;320
2613;The Bonesetter's Daughter;Dial Press;2020-07-16;331
2614;Black and Blue;Dial Press;2020-07-16;244
2615;Dexter by Design;Vintage Classics;2020-07-15;215
2616;Aura;Dial Press;2020-07-15;191
2617;Enclave;Washington Square Press;2020-07-16;144
2618;Perfect;Dial Press;2020-07-15;738
2619;Daughter of Smoke & Bone;HarperCollins Publishers;2020-07-16;48
2620;Sphere;Wings Books;2020-07-16;287
2621;Sahara;William Morrow Paperbacks;2020-07-15;217
2622;Night Watch;William Morrow;2020-07-16;154
2623;Cry Wolf;Bantam Books;2020-07-16;318
2624;Old Yeller;William Morrow;2020-07-16;348
2625;The Book of Lost Things;Collins Design;2020-07-15;316
2626;LaRose;Joshua Odell Editions;2020-07-15;506
2627;House of Many Ways;Dragonfly Books;2020-07-16;292
2628;Leota's Garden;iBooks;2020-07-15;797
2629;Gathering Blue;Harper Perennial;2020-07-16;635
2630;Guilty as Sin (Deer Lake #2);William Morrow Paperbacks;2020-07-16;91
2631;The Art Forger;Everyman's Library Classics;2020-07-15;192
2632;Mere Christianity;Penguin Books;2020-07-16;181
2633;Stolen Prey;Harcourt  Inc.(Harvest Book);2020-07-16;178
2634;The Matchmaker;Penguin Books Ltd;2020-07-16;464
2635;The Lost Symbol;Mariner Books;2020-07-15;102
2636;The Storyteller;Everyman's Library;2020-07-15;216
2637;Black-Eyed Susans;Tarcherperigee;2020-07-16;132
2638;Grim Tuesday;Tarcherperigee;2020-07-15;100
2639;King's Cage;Tarcherperigee;2020-07-16;311
2640;Diary;Tarcherperigee;2020-07-16;213
2641;Passenger;Tarcherperigee;2020-07-15;245
2642;A Chair for My Mother ;W. W. Norton  Company;2020-07-16;64
2643;The Kept Woman;Dell;2020-07-16;272
2644;The Life List;Theatre Communications Group;2020-07-16;232
2645;Pandemonium;Farrar  Straus and Giroux;2020-07-15;270
2646;Fight Club;Vintage International;2020-07-15;448
2647;Train to Pakistan;Sudamericana;2020-07-16;64
2648;Burned;Bloomsbury Academic;2020-07-15;256
2649;Moon Palace;Harper Perennial;2020-07-16;147
2650;My Booky Wook;Anchor Books;2020-07-16;239
2651;I Heart New York;Tor Books;2020-07-15;304
2652;Autumn in Paris;Tor Books;2020-07-16;528
2653;Imperial Bedrooms;Crown;2020-07-16;434
2654;Angelfall;Anchor Books;2020-07-16;439
2655;My Sweet Audrina;El Paso Norte Press;2020-07-15;256
2656;A Certain Slant of Light;Harper;2020-07-15;307
2657;Airborn;Harper Perennial;2020-07-16;298
2658;The Stonekeeper;Aspect;2020-07-15;368
2659;"Son (The Giver; #4)";Dover Publications;2020-07-16;256
2660;Amazonia;Arrow;2020-07-16;336
2661;Inherent Vice;Bantam;2020-07-15;72
2662;You'll Grow Out of It;Broadway Books;2020-07-16;67
2663;The Cement Garden;Anchor Books;2020-07-16;347
2664;Married By Morning;Golden/Disney;2020-07-16;317
2665;Just After Sunset;Faber and Faber;2020-07-15;32
2666;The Abduction;Nostalgia Ventures;2020-07-15;827
2667;While My Sister Sleeps;Picador;2020-07-16;480
2668;Anne of Windy Poplars;Mariner Books;2020-07-15;377
2669;Main Street;Mariner Books;2020-07-16;256
2670;Fool's Errand;Alfred A. Knopf;2020-07-16;224
2671;Chocolat;McClelland and Stewart;2020-07-15;272
2672;Incarceron;Modern Library;2020-07-16;339
2673;The Firebird;Dutton Books for Young Readers;2020-07-16;1085
2674;The House We Grew Up In;Delta;2020-07-16;547
2675;Dandelion Wine;William Morrow;2020-07-15;152
2676;The Dispossessed;Pantheon;2020-07-15;784
2677;The Tale of the Body Thief;Tantor Media;2020-07-16;773
2678;Back Roads;Alfred A. Knopf;2020-07-15;385
2679;Oracle Night;Little  Brown and Company;2020-07-16;776
2680;The Indigo Spell;University of North Carolina Press;2020-07-16;193
2681;Better Than Life;W. W. Norton  Company;2020-07-15;352
2682;The Mammoth Hunters;Random House Trade Paperbacks;2020-07-16;227
2683;Shadows of Self;Lumen;2020-07-16;222
2684;Hot Ticket;British Film Institute;2020-07-16;272
2685;The Invention of Wings;Picador;2020-07-15;240
2686;Whose Body?;Vintage;2020-07-15;238
2687;Us;Debolsillo;2020-07-16;234
2688;Inheritance;Penguin Classics;2020-07-15;1122
2689;The Last Patriot;Random House Trade;2020-07-16;231
2690;Black Notice;Penguin Books;2020-07-16;308
2691;Until I Find You;Methuen Publishing;2020-07-15;203
2692;Tiger Lily;Vintage;2020-07-16;96
2693;The Human Stain;Harper Perennial;2020-07-16;179
2694;The Lords of Discipline;Harper Perennial;2020-07-16;256
2695;Finding Cinderella;Vintage Contemporaries;2020-07-15;306
2696;Shopaholic and Sister;Vintage;2020-07-15;320
2697;The Black Company;Vintage Books;2020-07-16;217
2698;The Rose & the Dagger;Knopf Books for Young Readers;2020-07-15;145
2699;The Orc King;Modern Library;2020-07-16;275
2700;Home;Cumberland House Publishing;2020-07-16;104
2701;Dark Guardian;Modern Library;2020-07-15;1075
2702;Strengths Finder 2.0;Penguin Classics;2020-07-16;608
2703;Edvard Munch;Vintage;2020-07-16;211
2704;The Temple of My Familiar;Windsor Golden Series;2020-07-16;262
2705;Three Junes;National Geographic Society;2020-07-15;544
2706;Contest;Delta;2020-07-15;272
2707;A Cup of Friendship;Penguin Press HC  The;2020-07-16;576
2708;Life As We Knew It;Vintage;2020-07-15;88
2709;Nightmares & Dreamscapes ;Vintage;2020-07-16;542
2710;Glass Sword;Cistercian Publications;2020-07-16;144
2711;A Complicated Kindness;Suhrkamp;2020-07-15;100
2712;Psycho;Schocken;2020-07-16;249
2713;The Glass Lake;btb;2020-07-16;828
2714;Hollywood;Vintage;2020-07-16;112
2715;An Ember in the Ashes;Vintage;2020-07-15;6
2716;The Other Daughter;Columbia University Press;2020-07-15;397
2717;Never Look Away;Vintage;2020-07-16;216
2718;Written in Red;Henry Holt;2020-07-15;328
2719;One for the Money;Bloomsbury USA;2020-07-16;532
2720;The Lost World ;Mariner Books;2020-07-16;224
2721;Raising Steam;C. Bange;2020-07-15;296
2722;The Odessa File;Insel;2020-07-16;456
2723;Salmon Fishing in the Yemen;Vintage;2020-07-16;575
2724;Junk;Routledge;2020-07-16;245
2725;Carolina Moon;Vintage International;2020-07-15;272
2726;Cop Town;Piper Verlag;2020-07-15;419
2727;Library of Souls ;Broadway Books;2020-07-16;540
2728;The Visitor;Ballantine Books;2020-07-15;32
2729;The Dog Stars;Faber & Faber;2020-07-16;408
2730;Music of the Heart;Bantam;2020-07-16;222
2731;Economics in One Lesson;Laurel Leaf Library;2020-07-15;191
2732;Longitude;Riverhead Books;2020-07-16;304
2733;Blankets;BBC Audiobooks;2020-07-16;1392
2734;The Secret Servant;Delta;2020-07-16;352
2735;After I'm Gone;Pimlico;2020-07-15;1168
2736;This Present Darkness;Luath Press Ltd;2020-07-15;224
2737;A Scanner Darkly ;Daw Books;2020-07-16;752
2738;The Black Prism;Scholastic;2020-07-15;176
2739;The Chaperone;Daw Books;2020-07-16;105
2740;Skinwalker;Tauris Parke Paperbacks;2020-07-16;464
2741;Princeps' Fury;Houghton Mifflin;2020-07-15;340
2742;Abarat;St. Martin's Press;2020-07-16;681
2743;If You Find Me;Ballantine Books;2020-07-16;416
2744;The Secret Between Us;William Morrow;2020-07-16;368
2745;The Collector;Griffin;2020-07-15;192
2746;Emperor of Thorns;Penguin Classics;2020-07-15;286
2747;The Engagements;MacMillan General Books;2020-07-16;571
2748;Plum Island;Little  Brown Books for Young Readers;2020-07-15;231
2749;The Oath;St. Martin's Griffin;2020-07-16;277
2750;Morgawr ;Rowohlt Tb;2020-07-16;826
2751;The Smoke Jumper;Barnes  Noble Classics;2020-07-15;528
2752;Mortal Engines;Barnes  Noble Classics;2020-07-16;391
2753;The Water is Wide;Picador USA;2020-07-16;164
2754;Private Peaceful;Ballantine Books;2020-07-16;352
2755;The Red Garden;Napoleon and Co;2020-07-15;118
2756;A Perfect Evil;Highbridge Audio;2020-07-15;496
2757;Sandry's Book;Dramatists Play Service;2020-07-16;176
2758;Forever . . .;St. Martin's Griffin;2020-07-15;533
2759;"Bless Me; Ultima";1/1/1996;2020-07-16;112
2760;Mila 18;Mariner Books;2020-07-16;425
2761;The Marriage Bargain;Faber  Faber;2020-07-15;288
2762;Requiem (Providence #2);Mariner Books;2020-07-16;363
2763;The Shining Girls;Princeton University Press;2020-07-16;128
2764;Dark Fire;W. W. Norton  Company;2020-07-16;480
2765;On the Way to Wedding;Penguin;2020-07-15;295
2766;Drop City;Random House Value Publishing;2020-07-15;287
2767;Star Wars: Lost Stars;St. Martins Press-3PL;2020-07-16;1139
2768;The Sapphire Rose ;St. Martin's Press;2020-07-15;418
2769;The Runaway Jury;Minotaur Books;2020-07-16;815
2770;The Shell Seekers;Minotaur Books;2020-07-16;927
2771;Dark Rivers of the Heart;St. Martin's Griffin;2020-07-15;448
2772;Drowned Wednesday;St. Martin's Press;2020-07-16;308
2773;Until You;University of California Press;2020-07-16;499
2774;Tara Road;University of California Press;2020-07-16;640
2775;Revelations;Random House Trade;2020-07-15;464
2776;The Feast of All Saints;Shambhala;2020-07-15;438
2777;Big Trouble;Trine Day;2020-07-16;450
2778;Stitches: A Memoir;Routledge;2020-07-15;381
2779;A Window Opens;Eerdmans;2020-07-16;240
2780;Darkest Hour;University of California Press;2020-07-16;272
2781;Blood Red Road ;Oxford University Press  USA;2020-07-15;257
2782;Mountain Interval;HarperOne;2020-07-16;259
2783;Fuzzy Nation;Augsburg Fortress Publishing;2020-07-16;192
2784;A Gentleman in Moscow;Crown Forum;2020-07-16;197
2785;Shadow Spell;Simon  Schuster;2020-07-15;192
2786;The Skull Throne;Picador;2020-07-15;192
2787;Songs of Willow Frost;Allen Lane;2020-07-16;192
2788;The Lost Saint;Stewart  Tabori and Chang;2020-07-15;192
2789;Partials;Julie Andrews Collection;2020-07-16;200
2790;Prayers for Rain ;HarperCollins;2020-07-16;198
2791;Fire Touched;Orchard Books;2020-07-15;192
2792;A Different Blue;Little  Brown and Company;2020-07-16;274
2793;Queen of Babble Gets Hitched;Arbordale Publishing;2020-07-16;360
2794;Slave to Sensation;Holt McDougal;2020-07-16;103
2795;The Wrath & the Dawn;Yearling;2020-07-15;464
2796;The Amulet of Samarkand;Crown;2020-07-15;182
2797;The Memory of Earth;Virgin Publishing;2020-07-16;215
2798;Supernova: Petir;Virgin Publishing;2020-07-15;503
2799;Children of the Mind;Virgin Publishing;2020-07-16;434
2800;All the Pretty Horses;Gallery Books;2020-07-16;497
2801;Tyrannosaur Canyon;Scholastic Press;2020-07-15;144
2802;The Akhenaten Adventure;Harvard Common Press;2020-07-16;497
2803;Sabriel;Free Spirit Publishing;2020-07-16;334
2804;Wicked Lovely ;Taunton Press;2020-07-16;58
2805;Graffiti Moon;Granta UK;2020-07-15;95
2806;Magyk;Rough Guides;2020-07-15;0
2807;The Heart Goes Last;Yale University Press;2020-07-16;736
2808;"These High; Green Hills";Ember;2020-07-15;508
2809;Living History;St. Martin's Paperbacks;2020-07-16;18
2810;A Study in Scarlet;Penguin Books;2020-07-16;489
2811;Monster;Fawcett Books;2020-07-15;467
2812;Deeper than Midnight;Yearling;2020-07-16;744
2813;The Likeness;Yearling;2020-07-16;736
2814;Ragtime;Riverhead Books;2020-07-16;585
2815;Second Chance Summer;North Atlantic Books;2020-07-15;448
2816;Cities of the Plain ;Penguin Books;2020-07-15;383
2817;Heartless;HighBridge Company;2020-07-16;258
2818;Half Blood Blues;Plume;2020-07-15;320
2819;City of Golden Shadow;Houghton Mifflin Harcourt P;2020-07-16;368
2820;Saphirblau;DeBolsillo;2020-07-16;256
2821;Deception Point;For Dummies;2020-07-15;288
2822;Chromosome 6;Mariner Books;2020-07-16;384
2823;Christy;Rizzoli;2020-07-16;194
2824;The Nest;Harcourt;2020-07-16;4
2825;Run;Mariner Books;2020-07-15;480
2826;Memory;Mariner Books;2020-07-15;386
2827;On the Jellicoe Road;Indiana University Press;2020-07-16;192
2828;Lord of Scoundrels;Yale University Press;2020-07-15;284
2829;Rebel of the Sands;Orion Publishing Co.;2020-07-16;418
2830;Skinny Legs and All;Indiana University Press;2020-07-16;5
2831;T is for Trespass ;Schirmer/Mosel;2020-07-15;399
2832;The Girl of Fire and Thorns;Shambhala;2020-07-16;384
2833;In the Woods;1/1/2001;2020-07-16;269
2834;Stone of Tears;Recorded Books  Inc.;2020-07-16;422
2835;The Assassin's Blade;Black Swan;2020-07-15;1344
2836;Vanish;Avon Books;2020-07-15;320
2837;A Trick of the Light;Penguin Books Ltd;2020-07-16;201
2838;Beezus and Ramona;Scholastic Inc.;2020-07-15;288
2839;The Human Division;Michael O'Mara;2020-07-16;405
2840;Barnyard Dance;Barnes  Noble Classics;2020-07-16;245
2841;Dark Desire;Brilliance Audio;2020-07-15;432
2842;Cleopatra's Daughter;Baronet Books;2020-07-16;368
2843;Twilight Eyes;Wordsworth Editions;2020-07-16;68
2844;Lover Unbound;Scribner;2020-07-16;392
2845;The Namesake;Countryman Press;2020-07-15;256
2846;Pardonable Lies;Delacorte Press;2020-07-15;214
2847;The Summer I Turned Pretty;Bantam;2020-07-16;64
2848;The Testament;Hard Crime Case;2020-07-15;256
2849;The Magic of Recluce;Simon & Schuster Audio;2020-07-16;256
2850;The Year of Fog;Pocket Books;2020-07-16;240
2851;Archangel's Blade;Simon & Schuster Audio;2020-07-15;256
2852;SilverFin;Pocket Books;2020-07-16;304
2853;Lothaire;Debolsillo;2020-07-16;287
2854;Watership Down;Random House Audio;2020-07-16;320
2855;"Crank (Crank; #1)";Simon  Schuster Audio;2020-07-15;250
2856;The Wounded Land;Simon & Schuster Audio;2020-07-15;496
2857;Anne of Green Gables;Andrews McMeel Publishing;2020-07-16;338
2858;The Eternity Code;Cemetery Dance Publications;2020-07-15;401
2859;Key of Knowledge;Random House Audio;2020-07-16;448
2860;Lily and the Octopus;Plaza y Janés;2020-07-16;400
2861;"Rich Man; Poor Man";Signet;2020-07-15;515
2862;The Great Book of Amber;Andrews McMeel Publishing;2020-07-16;256
2863;Love You More;Ballantine Books;2020-07-16;191
2864;Acceptance;Renaissance Books;2020-07-16;458
2865;Birthright;Signet;2020-07-15;193
2866;Open City;New English Library;2020-07-15;542
2867;Roses;Plume;2020-07-16;397
2868;The Complete Works;Simon & Schuster Libros en Español;2020-07-15;368
2869;Best Kept Secret;Pocket Books;2020-07-16;368
2870;The Lions of Lucerne;Signet;2020-07-16;2
2871;The Magician King;LGF;2020-07-15;320
2872;One Week Girlfriend;Bantam;2020-07-16;512
2873;The Queen;Vintage;2020-07-16;468
2874;The Bitter Kingdom;Harper Perennial;2020-07-16;317
2875;Lucky;W. W. Norton  Company;2020-07-15;112
2876;Lucky;Vintage;2020-07-15;452
2877;Tiger's Quest;W. W. Norton  Company;2020-07-16;392
2878;The Simple Truth;Vintage;2020-07-15;414
2879;A Rogue by Any Other Name;Inter Varsity Press;2020-07-16;721
2880;End of Watch;Random House  Inc.;2020-07-16;354
2881;La lenteur;Random House Trade Paperbacks;2020-07-15;448
2882;The Colorado Kid;Fourth Estate;2020-07-16;400
2883;The Fifth Season;Sweet Valley;2020-07-16;168
2884;'Tis: A Memoir;Dial;2020-07-16;176
2885;The Gold Coast;Miramax Books;2020-07-15;340
2886;Cruel & Unusual;Doubleday;2020-07-15;160
